# Generated by local stop-line/heading/controller matching; converter refers links are ignored.
vtd_id,autoware_group_id,signal_type,signal_subtype
286,463429,1000008,-1
286,463431,1000008,-1
286,463433,1000008,-1
287,463429,1000012,-1
287,463431,1000012,-1
287,463433,1000012,-1
288,463389,1000020,-1
288,463391,1000020,-1
288,463393,1000020,-1
289,463389,1000008,-1
289,463391,1000008,-1
289,463393,1000008,-1
290,463389,1000012,-1
290,463391,1000012,-1
290,463393,1000012,-1
291,463415,1000020,-1
291,463417,1000020,-1
291,463419,1000020,-1
292,463415,1000008,-1
292,463417,1000008,-1
292,463419,1000008,-1
293,463415,1000012,-1
293,463417,1000012,-1
293,463419,1000012,-1
294,463465,1000020,-1
294,463467,1000020,-1
294,463469,1000020,-1
294,463471,1000020,-1
295,463465,1000008,-1
295,463467,1000008,-1
295,463469,1000008,-1
295,463471,1000008,-1
296,463465,1000012,-1
296,463467,1000012,-1
296,463469,1000012,-1
296,463471,1000012,-1
297,463473,1000020,-1
298,463473,1000008,-1
301,463473,1000012,10
303,463371,1000020,-1
303,463373,1000020,-1
303,463375,1000020,-1
304,463371,1000008,-1
304,463373,1000008,-1
304,463375,1000008,-1
305,463377,1000020,-1
306,463377,1000008,-1
307,463371,1000012,10
307,463373,1000012,10
307,463375,1000012,10
308,463377,1000012,-1
309,463531,1000020,-1
310,463531,1000008,-1
311,463533,1000020,-1
312,463533,1000008,-1
313,463531,1000012,10
314,463533,1000012,-1
315,463449,1000020,-1
315,463451,1000020,-1
316,463449,1000008,-1
316,463451,1000008,-1
317,463453,1000020,-1
318,463453,1000008,-1
319,463449,1000012,10
319,463451,1000012,10
320,463453,1000012,-1
321,463515,1000020,-1
322,463515,1000008,-1
323,463517,1000020,-1
324,463517,1000008,-1
325,463515,1000012,10
326,463517,1000012,-1
327,463519,1000020,-1
327,463521,1000020,-1
328,463519,1000008,-1
328,463521,1000008,-1
329,463523,1000020,-1
330,463523,1000008,-1
331,463519,1000012,10
331,463521,1000012,10
332,463523,1000012,-1
333,463495,1000020,-1
334,463495,1000008,-1
335,463495,1000012,-1
336,463483,1000020,-1
336,463485,1000020,-1
337,463483,1000008,-1
337,463485,1000008,-1
338,463483,1000012,-1
338,463485,1000012,-1
339,463491,1000020,-1
340,463491,1000008,-1
341,463491,1000012,-1
342,463541,1000020,-1
342,463543,1000020,-1
343,463541,1000008,-1
343,463543,1000008,-1
344,463541,1000012,10
344,463543,1000012,10
345,463541,1000012,-1
345,463543,1000012,-1
346,463545,1000020,-1
347,463545,1000008,-1
348,463545,1000012,10
349,463545,1000012,-1
350,463551,1000020,-1
350,463553,1000020,-1
351,463551,1000008,-1
351,463553,1000008,-1
352,463551,1000012,-1
352,463553,1000012,-1
353,463571,1000020,-1
354,463571,1000008,-1
355,463573,1000020,-1
356,463573,1000008,-1
357,463571,1000012,10
358,463573,1000012,-1
359,463525,1000020,-1
359,463527,1000020,-1
360,463525,1000008,-1
360,463527,1000008,-1
361,463529,1000020,-1
362,463529,1000008,-1
363,463525,1000012,10
363,463527,1000012,10
364,463529,1000012,-1
365,463547,1000020,-1
366,463547,1000008,-1
367,463549,1000020,-1
368,463549,1000008,-1
369,463547,1000012,10
370,463549,1000012,-1
371,463559,1000020,-1
371,463561,1000020,-1
372,463559,1000008,-1
372,463561,1000008,-1
373,463563,1000020,-1
374,463563,1000008,-1
375,463559,1000012,10
375,463561,1000012,10
376,463563,1000012,-1
377,463575,1000020,-1
378,463575,1000008,-1
379,463575,1000012,-1
380,463577,1000020,-1
381,463577,1000008,-1
382,463577,1000012,-1
383,463587,1000020,-1
383,463589,1000020,-1
384,463587,1000008,-1
384,463589,1000008,-1
385,463587,1000012,-1
385,463589,1000012,-1
386,463579,1000020,-1
386,463581,1000020,-1
387,463579,1000008,-1
387,463581,1000008,-1
388,463579,1000012,-1
388,463581,1000012,-1
